ID;ULICA_ID;ULICA_NAZWA;NUMER_ADR;KOD_POCZTOWY;ETYKIETA_NAZWA_SKROCONA
32869;1742;ul. 3 Maja;11;52-119;3 Maja 11
47201;1742;ul. 3 Maja;12;52-119;3 Maja 12
34880;1742;ul. 3 Maja;13;52-119;3 Maja 13
51240;1742;ul. 3 Maja;13d;52-119;3 Maja 13d
39299;1742;ul. 3 Maja;1b;52-119;3 Maja 1b
37372;1742;ul. 3 Maja;2a;52-119;3 Maja 2a
21856;1742;ul. 3 Maja;2b;52-119;3 Maja 2b
27949;1742;ul. 3 Maja;4a;52-119;3 Maja 4a
29265;1742;ul. 3 Maja;4b;52-119;3 Maja 4b
54141;1742;ul. 3 Maja;5a;52-119;3 Maja 5a
22401;1742;ul. 3 Maja;5b;52-119;3 Maja 5b
10350;1742;ul. 3 Maja;6a;52-119;3 Maja 6a
29299;1742;ul. 3 Maja;6b;52-119;3 Maja 6b
29267;1742;ul. 3 Maja;7;52-119;3 Maja 7
74486;2854;ul. 8 Maja;12;51-671;8 Maja 12
74653;2854;ul. 8 Maja;13;51-671;8 Maja 13
74536;2854;ul. 8 Maja;14;51-671;8 Maja 14
74538;2854;ul. 8 Maja;16;51-671;8 Maja 16
74541;2854;ul. 8 Maja;18;51-671;8 Maja 18
74544;2854;ul. 8 Maja;20;51-671;8 Maja 20
74550;2854;ul. 8 Maja;22;51-671;8 Maja 22
74551;2854;ul. 8 Maja;24;51-671;8 Maja 24
74552;2854;ul. 8 Maja;26;51-671;8 Maja 26
74553;2854;ul. 8 Maja;28;51-671;8 Maja 28
74566;2854;ul. 8 Maja;30;51-671;8 Maja 30
74572;2854;ul. 8 Maja;32;51-671;8 Maja 32
74573;2854;ul. 8 Maja;34;51-671;8 Maja 34
74575;2854;ul. 8 Maja;36;51-671;8 Maja 36
74576;2854;ul. 8 Maja;38;51-671;8 Maja 38
74577;2854;ul. 8 Maja;40;51-671;8 Maja 40
74579;2854;ul. 8 Maja;42;51-671;8 Maja 42
74581;2854;ul. 8 Maja;44;51-671;8 Maja 44
74583;2854;ul. 8 Maja;46;51-671;8 Maja 46
74586;2854;ul. 8 Maja;48;51-671;8 Maja 48
74593;2854;ul. 8 Maja;50;51-671;8 Maja 50
74595;2854;ul. 8 Maja;52;51-671;8 Maja 52
74598;2854;ul. 8 Maja;54;51-671;8 Maja 54
74602;2854;ul. 8 Maja;56;51-671;8 Maja 56
74606;2854;ul. 8 Maja;58;51-671;8 Maja 58
74608;2854;ul. 8 Maja;60;51-671;8 Maja 60
74626;2854;ul. 8 Maja;62;51-671;8 Maja 62
74627;2854;ul. 8 Maja;64;51-671;8 Maja 64
74628;2854;ul. 8 Maja;66;51-671;8 Maja 66
74629;2854;ul. 8 Maja;68;51-671;8 Maja 68
74638;2854;ul. 8 Maja;70;51-671;8 Maja 70
74645;2854;ul. 8 Maja;72;51-671;8 Maja 72
74646;2854;ul. 8 Maja;74;51-671;8 Maja 74
74647;2854;ul. 8 Maja;76;51-671;8 Maja 76
74648;2854;ul. 8 Maja;78;51-671;8 Maja 78
74654;2854;ul. 8 Maja;78a;51-671;8 Maja 78a
74649;2854;ul. 8 Maja;80;51-671;8 Maja 80
74650;2854;ul. 8 Maja;82;51-671;8 Maja 82
74651;2854;ul. 8 Maja;84;51-671;8 Maja 84
74652;2854;ul. 8 Maja;86;51-671;8 Maja 86
34966;971;ul. Edwarda Abramowskiego;1;51-663;Abramowskiego 1
7164;971;ul. Edwarda Abramowskiego;10;51-663;Abramowskiego 10
28361;971;ul. Edwarda Abramowskiego;11;51-663;Abramowskiego 11
20729;971;ul. Edwarda Abramowskiego;12;51-663;Abramowskiego 12
51385;971;ul. Edwarda Abramowskiego;13;51-663;Abramowskiego 13
26637;971;ul. Edwarda Abramowskiego;14;51-663;Abramowskiego 14
26020;971;ul. Edwarda Abramowskiego;15;51-663;Abramowskiego 15
8326;971;ul. Edwarda Abramowskiego;16;51-663;Abramowskiego 16
11388;971;ul. Edwarda Abramowskiego;17;51-663;Abramowskiego 17
46138;971;ul. Edwarda Abramowskiego;18;51-663;Abramowskiego 18
49488;971;ul. Edwarda Abramowskiego;19;51-663;Abramowskiego 19
24053;971;ul. Edwarda Abramowskiego;1a;51-663;Abramowskiego 1a
38814;971;ul. Edwarda Abramowskiego;2;51-663;Abramowskiego 2
6783;971;ul. Edwarda Abramowskiego;20;51-663;Abramowskiego 20
39069;971;ul. Edwarda Abramowskiego;21;51-663;Abramowskiego 21
33686;971;ul. Edwarda Abramowskiego;22;51-663;Abramowskiego 22
46052;971;ul. Edwarda Abramowskiego;23;51-663;Abramowskiego 23
53844;971;ul. Edwarda Abramowskiego;24;51-663;Abramowskiego 24
56429;971;ul. Edwarda Abramowskiego;25;51-663;Abramowskiego 25
